Sample#,SampleTime,units,arduino,gps
716,9.34,us,2,0
717,499.98,ms,0,0
718,9.46,us,1,0
719,399.73,ms,3,0
720,100.00,ms,3,1
721,254.50,us,3,0
722,9.66,us,2,0
723,499.98,ms,0,0
724,9.81,us,1,0
725,399.72,ms,3,0
726,100.00,ms,3,1
727,262.47,us,3,0
728,10.00,us,2,0
729,499.98,ms,0,0
730,10.14,us,1,0
731,399.71,ms,3,0
732,100.00,ms,3,1
733,270.42,us,3,0
734,10.31,us,2,0
735,499.98,ms,0,0
736,10.50,us,1,0
737,399.71,ms,3,0
738,100.00,ms,3,1
739,278.39,us,3,0
740,10.63,us,2,0
741,499.98,ms,0,0
742,10.82,us,1,0
743,399.70,ms,3,0
744,100.00,ms,3,1
745,286.35,us,3,0
746,10.97,us,2,0
747,499.98,ms,0,0
748,11.12,us,1,0
749,399.69,ms,3,0
750,100.00,ms,3,1
751,294.31,us,3,0
752,11.29,us,2,0
753,499.98,ms,0,0
754,11.43,us,1,0
755,399.68,ms,3,0
756,100.00,ms,3,1
757,302.29,us,3,0
758,11.60,us,2,0
759,499.98,ms,0,0
760,11.75,us,1,0
761,399.67,ms,3,0
762,100.00,ms,3,1
763,310.26,us,3,0
764,11.94,us,2,0
765,499.98,ms,0,0
766,12.10,us,1,0
767,399.66,ms,3,0
768,100.00,ms,3,1
769,318.19,us,3,0
770,12.29,us,2,0
771,499.98,ms,0,0
772,12.42,us,1,0
773,399.66,ms,3,0
774,100.00,ms,3,1
775,326.18,us,3,0
776,12.61,us,2,0
777,499.98,ms,0,0
778,12.76,us,1,0
779,399.65,ms,3,0
780,100.00,ms,3,1
781,334.16,us,3,0
782,12.93,us,2,0
783,499.98,ms,0,0
784,13.12,us,1,0
785,399.64,ms,3,0
786,100.00,ms,3,1
787,342.10,us,3,0
788,13.27,us,2,0
789,499.98,ms,0,0
790,13.46,us,1,0
791,399.63,ms,3,0
792,100.00,ms,3,1
793,350.06,us,3,0
794,13.62,us,2,0
795,499.98,ms,0,0
796,13.76,us,1,0
797,399.62,ms,3,0
798,100.00,ms,3,1
799,358.02,us,3,0
800,13.94,us,2,0
801,499.98,ms,0,0
802,14.12,us,1,0
803,399.61,ms,3,0
804,100.00,ms,3,1
805,365.98,us,3,0
806,14.31,us,2,0
807,499.98,ms,0,0
808,14.42,us,1,0
809,399.61,ms,3,0
810,100.00,ms,3,1
811,373.94,us,3,0
812,14.62,us,2,0
813,499.98,ms,0,0
814,14.79,us,1,0
815,399.60,ms,3,0
816,100.00,ms,3,1
817,381.91,us,3,0
818,14.96,us,2,0
819,499.98,ms,0,0
