Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
595,11,00,00,01,92.24,us
596,11,00,00,00,108.37,ms
597,11,00,01,00,40,ns
598,11,00,11,00,100.00,ms
599,11,00,10,00,32,ns
600,11,00,00,00,124.23,us
601,10,00,00,00,2.92,us
602,00,00,00,00,96.06,us
603,00,01,00,00,2.22,us
604,00,11,00,00,291.34,ms
605,00,11,00,10,60.24,us
606,00,11,00,11,208.49,ms
607,01,11,00,11,3.58,us
608,11,11,00,11,98.99,us
609,11,01,00,11,1.66,us
610,11,00,00,11,291.34,ms
611,11,00,00,01,61.04,us
612,11,00,00,00,108.36,ms
613,11,00,01,00,24,ns
614,11,00,11,00,100.00,ms
615,11,00,10,00,24,ns
616,11,00,00,00,123.50,us
617,10,00,00,00,3.42,us
618,00,00,00,00,93.31,us
619,00,01,00,00,208,ns
620,00,11,00,00,291.37,ms
621,00,11,00,10,48.67,us
622,00,11,00,11,208.47,ms
623,01,11,00,11,4.94,us
624,11,11,00,11,95.52,us
625,11,10,00,11,21.85,us
626,11,00,00,11,291.40,ms
627,11,00,00,10,20.89,us
628,11,00,00,00,108.33,ms
629,11,00,01,00,32,ns
630,11,00,11,00,100.00,ms
631,11,00,10,00,24,ns
632,11,00,00,00,126.72,us
633,01,00,00,00,2.07,us
634,00,00,00,00,89.78,us
635,00,01,00,00,8.38,us
636,00,11,00,00,291.42,ms
637,00,11,00,01,19.74,us
638,00,11,00,11,208.45,ms
639,10,11,00,11,1.44,us
640,11,11,00,11,90.78,us
641,11,01,00,11,7.51,us
642,11,00,00,11,291.43,ms
643,11,00,00,10,23.02,us
644,11,00,00,00,108.31,ms
645,11,00,01,00,32,ns
646,11,00,11,00,100.00,ms
647,11,00,10,00,32,ns
648,11,00,00,00,126.51,us
649,01,00,00,00,768,ns
650,00,00,00,00,93.59,us
651,00,10,00,00,1.42,us
652,00,11,00,00,291.44,ms
653,00,11,00,01,16.89,us
654,00,11,00,11,208.44,ms
655,10,11,00,11,56,ns
656,11,11,00,11,90.98,us
657,11,01,00,11,7.51,us
658,11,00,00,11,291.44,ms
659,11,00,00,10,23.62,us
660,11,00,00,00,108.30,ms
661,11,00,01,00,32,ns
662,11,00,11,00,100.00,ms
663,11,00,10,00,40,ns
664,11,00,00,00,125.71,us
665,10,00,00,00,1.54,us
666,00,00,00,00,91.35,us
667,00,10,00,00,1.61,us
668,00,11,00,00,291.46,ms
669,00,11,00,01,27.49,us
670,00,11,00,11,208.40,ms
671,01,11,00,11,2.34,us
672,11,11,00,11,96.12,us
673,11,01,00,11,48.34,us
674,11,00,00,11,291.41,ms
675,11,00,00,10,32.94,us
676,11,00,00,00,108.28,ms
677,11,00,01,00,32,ns
678,11,00,11,00,100.00,ms
679,11,00,10,00,40,ns
680,11,00,00,00,124.20,us
681,10,00,00,00,2.95,us
682,00,00,00,00,91.24,us
683,00,10,00,00,53.38,us
684,00,11,00,00,291.41,ms
685,00,11,00,01,27.69,us
686,00,11,00,11,208.40,ms
687,01,11,00,11,3.67,us
688,11,11,00,11,87.73,us
689,11,01,00,11,50.61,us
690,11,00,00,11,291.44,ms
691,11,00,00,10,29.07,us
692,11,00,00,00,108.26,ms
693,11,00,01,00,48,ns
694,11,00,11,00,100.00,ms
695,11,00,10,00,40,ns
696,11,00,00,00,122.60,us
697,10,00,00,00,4.36,us
698,00,00,00,00,94.70,us
699,00,10,00,00,53.62,us
700,00,11,00,00,291.43,ms
701,00,11,00,01,27.92,us
702,00,11,00,11,208.38,ms
703,01,11,00,11,5.00,us
704,11,11,00,11,90.23,us
705,11,01,00,11,100.02,us
706,11,00,00,11,291.36,ms
707,11,00,00,10,62.49,us
708,11,00,00,00,108.25,ms
709,11,00,01,00,48,ns
710,11,00,11,00,100.00,ms
711,11,00,10,00,40,ns
712,11,00,00,00,126.74,us
713,01,00,00,00,2.05,us
714,00,00,00,00,89.58,us
715,00,10,00,00,17.33,us
716,00,11,00,00,291.48,ms
717,00,11,00,01,35.48,us
718,00,11,00,11,208.36,ms
719,10,11,00,11,1.46,us
720,11,11,00,11,93.67,us
721,11,01,00,11,64.45,us
722,11,00,00,11,291.44,ms
723,11,00,00,10,32.53,us
724,11,00,00,00,108.23,ms
725,11,00,01,00,40,ns
726,11,00,11,00,100.00,ms
727,11,00,10,00,40,ns
728,11,00,00,00,126.54,us
729,01,00,00,00,776,ns
730,00,00,00,00,90.52,us
731,00,10,00,00,56.16,us
732,00,11,00,00,291.45,ms
733,00,11,00,01,36.84,us
734,00,11,00,11,208.35,ms
735,10,11,00,11,80,ns
736,11,11,00,11,90.16,us
737,11,01,00,11,79.07,us
738,11,00,00,11,291.44,ms
739,11,00,00,10,39.08,us
740,11,00,00,00,108.21,ms
741,11,00,01,00,40,ns
742,11,00,11,00,100.00,ms
743,11,00,10,00,40,ns
744,11,00,00,00,125.73,us
745,10,00,00,00,1.53,us
746,00,00,00,00,92.27,us
747,00,10,00,00,56.48,us
748,00,11,00,00,291.46,ms
749,00,11,00,01,42.69,us
750,00,11,00,11,208.33,ms
751,01,11,00,11,2.38,us
752,11,11,00,11,89.33,us
753,11,01,00,11,79.67,us
754,11,00,00,11,291.42,ms
755,11,00,00,10,77.18,us
756,11,00,00,00,108.20,ms
757,11,00,01,00,48,ns
758,11,00,11,00,100.00,ms
759,11,00,10,00,48,ns
760,11,00,00,00,124.21,us
761,10,00,00,00,2.99,us
762,00,00,00,00,89.41,us
763,00,10,00,00,62.80,us
764,00,11,00,00,291.43,ms
765,00,11,00,01,96.57,us
766,00,11,00,11,208.31,ms
767,01,11,00,11,3.70,us
768,11,11,00,11,95.12,us
769,11,01,00,11,68.30,us
770,11,00,00,11,291.42,ms
771,11,00,00,10,94.09,us
772,11,00,00,00,108.18,ms
773,11,00,01,00,32,ns
